match_id,match_size,mutual_match,countyid_1,County_name_1,State_1,total_workers2022_1,countyid_2,County_name_2,State_2,total_workers2022_2,countyid_3,County_name_3,State_3,total_workers2022_3,RUCC_2013,Economic_Type_Label,Low_Education_2015_Update,max_labor_force_gap,match_tier
1,2,True,32029,Storey County,NV,1752.1090017501265,13053,Chattahoochee County,GA,4282.560180727392,,,,,2,Nonspecialized,0,2530.451178977266,rucc_econtype_lowed
2,2,True,5105,Perry County,AR,4401.2343951302755,48351,Newton County,TX,4569.708014339209,,,,,2,Nonspecialized,0,168.4736192089331,rucc_econtype_lowed
3,2,True,53051,Pend Oreille County,WA,4978.574810413644,22091,St. Helena Parish,LA,5058.493199154036,,,,,2,Nonspecialized,0,79.9183887403924,rucc_econtype_lowed
4,2,True,49023,Juab County,UT,5251.149198713203,35057,Torrance County,NM,5580.527878933586,,,,,2,Nonspecialized,0,329.3786802203831,rucc_econtype_lowed
5,2,True,49029,Morgan County,UT,6141.53301685187,47153,Sequatchie County,TN,6440.75459985435,,,,,2,Nonspecialized,0,299.22158300247975,rucc_econtype_lowed
6,2,True,51520,Bristol city,VA,6971.08082408458,17131,Mercer County,IL,7163.970363780856,,,,,2,Nonspecialized,0,192.8895396962762,rucc_econtype_lowed
7,2,True,13083,Dade County,GA,7170.358185328543,5053,Grant County,AR,7341.078305344716,,,,,2,Nonspecialized,0,170.7201200161726,rucc_econtype_lowed
8,2,True,51011,Appomattox County,VA,7391.58469456248,16045,Gem County,ID,8004.7806304991245,,,,,2,Nonspecialized,0,613.1959359366447,rucc_econtype_lowed
9,2,True,31159,Seward County,NE,8222.590489400834,22077,Pointe Coupee Parish,LA,8406.127473279834,,,,,2,Nonspecialized,0,183.5369838789993,rucc_econtype_lowed
10,2,True,19121,Madison County,IA,8567.696788996458,37115,Madison County,NC,8774.150628396295,,,,,2,Nonspecialized,0,206.4538393998373,rucc_econtype_lowed
11,2,True,48281,Lampasas County,TX,9107.926000834967,19105,Jones County,IA,9692.25614980905,,,,,2,Nonspecialized,0,584.3301489740843,rucc_econtype_lowed
12,2,True,45039,Fairfield County,SC,9822.171684741974,20191,Sumner County,KS,9864.363632977009,,,,,2,Nonspecialized,0,42.19194823503494,rucc_econtype_lowed
13,2,True,31177,Washington County,NE,10239.020860254765,31155,Saunders County,NE,10939.521361959465,,,,,2,Nonspecialized,0,700.5005017047006,rucc_econtype_lowed
14,2,True,22121,West Baton Rouge Parish,LA,11014.549976348877,55049,Iowa County,WI,11588.591703911778,,,,,2,Nonspecialized,0,574.0417275629006,rucc_econtype_lowed
15,2,True,47115,Marion County,TN,11732.76779217615,51775,Salem city,VA,11820.098281904124,,,,,2,Nonspecialized,0,87.33048972797405,rucc_econtype_lowed
16,2,True,28127,Simpson County,MS,12256.036223057075,39019,Carroll County,OH,12300.91016503601,,,,,2,Nonspecialized,0,44.873941978934454,rucc_econtype_lowed
17,2,True,19011,Benton County,IA,12342.31993498181,29167,Polk County,MO,12605.707291543484,,,,,2,Nonspecialized,0,263.3873565616741,rucc_econtype_lowed
18,2,True,21239,Woodford County,KY,12678.13813685393,31025,Cass County,NE,13055.83049249139,,,,,2,Nonspecialized,0,377.6923556374604,rucc_econtype_lowed
19,2,True,21089,Greenup County,KY,13061.420432418585,51023,Botetourt County,VA,14822.164407417113,,,,,2,Nonspecialized,0,1760.7439749985278,rucc_econtype_lowed
20,2,True,40111,Okmulgee County,OK,14842.650103387947,40135,Sequoyah County,OK,15488.433161616325,,,,,2,Nonspecialized,0,645.7830582283786,rucc_econtype_lowed
21,2,True,27017,Carlton County,MN,15771.9344682698,22119,Webster Parish,LA,15881.253918532282,,,,,2,Nonspecialized,0,109.31945026248286,rucc_econtype_lowed
22,2,True,20079,Harvey County,KS,16277.02279022336,53065,Stevens County,WA,17246.556632862426,,,,,2,Nonspecialized,0,969.5338426390663,rucc_econtype_lowed
23,2,True,21049,Clark County,KY,17249.84100829903,37197,Yadkin County,NC,17328.21444606781,,,,,2,Nonspecialized,0,78.3734377687797,rucc_econtype_lowed
24,2,True,37145,Person County,NC,17432.76750292303,21019,Boyd County,KY,17525.94486504793,,,,,2,Nonspecialized,0,93.17736212490126,rucc_econtype_lowed
25,2,True,29225,Webster County,MO,17691.964981327474,55045,Green County,WI,18140.952174277278,,,,,2,Nonspecialized,0,448.987192949804,rucc_econtype_lowed
26,2,True,40079,Le Flore County,OK,18567.589904785156,37169,Stokes County,NC,19334.633073751,,,,,2,Nonspecialized,0,767.0431689658435,rucc_econtype_lowed
27,2,True,37059,Davie County,NC,19887.85700005293,13029,Bryan County,GA,21773.61334642768,,,,,2,Nonspecialized,0,1885.7563463747501,rucc_econtype_lowed
28,2,True,51191,Washington County,VA,21836.901844464213,39087,Lawrence County,OH,22044.129113852978,,,,,2,Nonspecialized,0,207.2272693887644,rucc_econtype_lowed
29,2,True,47145,Roane County,TN,22225.375123620033,17073,Henry County,IL,22481.924758434296,,,,,2,Nonspecialized,0,256.5496348142624,rucc_econtype_lowed
30,2,True,42099,Perry County,PA,22520.00229542493,47105,Loudon County,TN,22804.40170094013,,,,,2,Nonspecialized,0,284.39940551519976,rucc_econtype_lowed
31,2,True,21113,Jessamine County,KY,22858.565786255058,26027,Cass County,MI,23076.136463904113,,,,,2,Nonspecialized,0,217.57067764905514,rucc_econtype_lowed
32,2,True,54079,Putnam County,WV,23108.695332854986,51067,Franklin County,VA,24035.504616320133,,,,,2,Nonspecialized,0,926.809283465147,rucc_econtype_lowed
33,2,True,48199,Hardin County,TX,24722.191043138504,1001,Autauga County,AL,25281.957900249996,,,,,2,Nonspecialized,0,559.7668571114918,rucc_econtype_lowed
34,2,True,51031,Campbell County,VA,25958.416226625908,19181,Warren County,IA,25960.832660734653,,,,,2,Nonspecialized,0,2.4164341087453067,rucc_econtype_lowed
35,2,True,48409,San Patricio County,TX,27085.630104362965,45055,Kershaw County,SC,28859.555642068386,,,,,2,Nonspecialized,0,1773.9255377054214,rucc_econtype_lowed
36,2,True,26117,Montcalm County,MI,29042.63335196895,13047,Catoosa County,GA,29941.010847999074,,,,,2,Nonspecialized,0,898.3774960301234,rucc_econtype_lowed
37,2,True,21047,Christian County,KY,30197.55385297269,18173,Warrick County,IN,30517.61769092083,,,,,2,Nonspecialized,0,320.0638379481388,rucc_econtype_lowed
38,2,True,35061,Valencia County,NM,30767.482211112976,40037,Creek County,OK,30945.96943962574,,,,,2,Nonspecialized,0,178.48722851276398,rucc_econtype_lowed
39,2,True,36053,Madison County,NY,31585.792905390263,20015,Butler County,KS,32043.473941527307,,,,,2,Nonspecialized,0,457.68103613704443,rucc_econtype_lowed
40,2,True,26159,Van Buren County,MI,33808.13797358435,37037,Chatham County,NC,34068.63341836809,,,,,2,Nonspecialized,0,260.4954447837372,rucc_econtype_lowed
41,2,True,5085,Lonoke County,AR,35259.098869590554,51019,Bedford County,VA,36429.93058482371,,,,,2,Nonspecialized,0,1170.8317152331583,rucc_econtype_lowed
42,2,True,51680,Lynchburg city,VA,36822.622754991986,40145,Wagoner County,OK,36938.169959350984,,,,,2,Nonspecialized,0,115.54720435899799,rucc_econtype_lowed
43,2,True,54011,Cabell County,WV,37478.81934905052,26037,Clinton County,MI,39223.305118640565,,,,,2,Nonspecialized,0,1744.4857695900428,rucc_econtype_lowed
44,2,True,1051,Elmore County,AL,39678.323269099,41053,Polk County,OR,39899.64696599596,,,,,2,Nonspecialized,0,221.32369689696498,rucc_econtype_lowed
45,2,True,29043,Christian County,MO,40206.93603274599,51161,Roanoke County,VA,43031.605387782154,,,,,2,Nonspecialized,0,2824.669355036167,rucc_econtype_lowed
46,2,True,19155,Pottawattamie County,IA,43263.12030017376,40131,Rogers County,OK,43982.52815931942,,,,,2,Nonspecialized,0,719.4078591456637,rucc_econtype_lowed
47,2,True,12035,Flagler County,FL,44702.48796868324,42085,Mercer County,PA,46548.09113173956,,,,,2,Nonspecialized,0,1845.6031630563157,rucc_econtype_lowed
48,2,True,51770,Roanoke city,VA,46719.80945495656,24045,Wicomico County,MD,47869.15240752697,,,,,2,Nonspecialized,0,1149.3429525704123,rucc_econtype_lowed
49,2,True,28089,Madison County,MS,49283.49622839031,37089,Henderson County,NC,50170.038562929025,,,,,2,Nonspecialized,0,886.5423345387171,rucc_econtype_lowed
50,2,True,19049,Dallas County,IA,53355.0806048481,26045,Eaton County,MI,54104.4496120743,,,,,2,Nonspecialized,0,749.3690072261961,rucc_econtype_lowed
51,2,True,22015,Bossier Parish,LA,55290.64297182898,36075,Oswego County,NY,55875.01801843176,,,,,2,Nonspecialized,0,584.3750466027777,rucc_econtype_lowed
52,2,True,34041,Warren County,NJ,56220.77012545662,5125,Saline County,AR,57892.9500044561,,,,,2,Nonspecialized,0,1672.1798789994791,rucc_econtype_lowed
53,2,True,5045,Faulkner County,AR,58895.41932220408,9015,Windham County,CT,58935.00445032539,,,,,2,Nonspecialized,0,39.585128121310845,rucc_econtype_lowed
54,2,True,47009,Blount County,TN,63091.5789937973,22005,Ascension Parish,LA,63093.931162109366,,,,,2,Nonspecialized,0,2.3521683120634407,rucc_econtype_lowed
55,2,True,22063,Livingston Parish,LA,66060.73264939466,17161,Rock Island County,IL,66920.0,,,,,2,Nonspecialized,0,859.2673506053397,rucc_econtype_lowed
56,2,True,24043,Washington County,MD,69683.4745430213,48381,Randall County,TX,71571.0,,,,,2,Nonspecialized,0,1887.5254569787066,rucc_econtype_lowed
57,2,True,28121,Rankin County,MS,74202.80654021085,45003,Aiken County,SC,74411.27257174253,,,,,2,Nonspecialized,0,208.4660315316869,rucc_econtype_lowed
58,2,True,37057,Davidson County,NC,74429.07473827148,13073,Columbia County,GA,75434.50911358744,,,,,2,Nonspecialized,0,1005.4343753159628,rucc_econtype_lowed
59,2,True,36093,Schenectady County,NY,77157.28829038143,45035,Dorchester County,SC,80628.7105511945,,,,,2,Nonspecialized,0,3471.422260813066,rucc_econtype_lowed
60,2,True,36083,Rensselaer County,NY,80849.91030001671,17143,Peoria County,IL,82518.98694511924,,,,,2,Nonspecialized,0,1669.0766451025265,rucc_econtype_lowed
61,2,True,19163,Scott County,IA,85940.24597740173,12113,Santa Rosa County,FL,86466.73639035225,,,,,2,Nonspecialized,0,526.4904129505157,rucc_econtype_lowed
62,2,True,18163,Vanderburgh County,IN,87505.5709054186,36007,Broome County,NY,87625.08754312247,,,,,2,Nonspecialized,0,119.51663770386949,rucc_econtype_lowed
63,2,True,13215,Muscogee County,GA,92630.39981240034,53005,Benton County,WA,94493.87493270265,,,,,2,Nonspecialized,0,1863.4751203023043,rucc_econtype_lowed
64,2,True,28047,Harrison County,MS,95629.0,22017,Caddo Parish,LA,98536.19648238618,,,,,2,Nonspecialized,0,2907.196482386178,rucc_econtype_lowed
65,2,True,42069,Lackawanna County,PA,99923.63347532507,39099,Mahoning County,OH,102627.35282558484,,,,,2,Nonspecialized,0,2703.7193502597656,rucc_econtype_lowed
66,2,True,31153,Sarpy County,NE,103489.55019509792,48245,Jefferson County,TX,104335.0,,,,,2,Nonspecialized,0,845.4498049020767,rucc_econtype_lowed
67,2,True,16027,Canyon County,ID,107384.33273038268,47125,Montgomery County,TN,108426.65664286108,,,,,2,Nonspecialized,0,1042.3239124784013,rucc_econtype_lowed
68,2,True,45015,Berkeley County,SC,112978.25036080182,48309,McLennan County,TX,118916.74591230872,,,,,2,Nonspecialized,0,5938.495551506901,rucc_econtype_lowed
69,2,True,19113,Linn County,IA,120088.77212950564,5143,Washington County,AR,120595.81472154998,,,,,2,Nonspecialized,0,507.04259204433765,rucc_econtype_lowed
70,2,True,42049,Erie County,PA,123363.52488254523,42041,Cumberland County,PA,128506.89792345822,,,,,2,Nonspecialized,0,5143.373040912993,rucc_econtype_lowed
71,2,True,37021,Buncombe County,NC,128522.84011146775,18141,St. Joseph County,IN,130423.30680018291,,,,,2,Nonspecialized,0,1900.4666887151543,rucc_econtype_lowed
72,2,True,26077,Kalamazoo County,MI,132466.00572931784,9011,New London County,CT,135369.65217729914,,,,,2,Nonspecialized,0,2903.6464479813003,rucc_econtype_lowed
73,2,True,55009,Brown County,WI,137377.9442998129,12083,Marion County,FL,139466.99755668742,,,,,2,Nonspecialized,0,2089.0532568745257,rucc_econtype_lowed
74,2,True,5007,Benton County,AR,140084.13850923395,45063,Lexington County,SC,141875.71820554975,,,,,2,Nonspecialized,0,1791.5796963158064,rucc_econtype_lowed
75,2,True,12111,St. Lucie County,FL,143251.98602957092,29077,Greene County,MO,144197.89935851097,,,,,2,Nonspecialized,0,945.9133289400488,rucc_econtype_lowed
76,2,True,13051,Chatham County,GA,145848.307682693,12033,Escambia County,FL,151266.43669998413,,,,,2,Nonspecialized,0,5418.129017291125,rucc_econtype_lowed
77,2,True,42079,Luzerne County,PA,152119.62002480362,48303,Lubbock County,TX,152478.4684035778,,,,,2,Nonspecialized,0,358.84837877418613,rucc_econtype_lowed
78,2,True,42095,Northampton County,PA,153876.69647533447,48355,Nueces County,TX,160207.94482016563,,,,,2,Nonspecialized,0,6331.248344831169,rucc_econtype_lowed
